respondent_id,xyz_vaccine,seasonal_vaccine
26707,0.08443754780844528,0.20863857213227588
26708,0.04420103460268624,0.03612260897620092
26709,0.41973002255921327,0.6913380454039227
26710,0.49317835429874646,0.8854771229822304
26711,0.2113443899380505,0.4909087045474264
26712,0.4466221788574056,0.9123991984417749
26713,0.3698909406482185,0.49230089516136
26714,0.14363429479536416,0.2899420546391799
26715,0.040997640951617065,0.1795778315375152
26716,0.17810912297084225,0.8343914744172102
26717,0.020503853683987175,0.3672007114338658
26718,0.19894388436570298,0.42103165407703186
26719,0.09837710785014828,0.9288068523204012
26720,0.07075680499371155,0.13191007242405534
26721,0.40096870092321407,0.4113921481347519
26722,0.04796969407345559,0.08492046384888868
26723,0.6794904602426132,0.8342491463825561
26724,0.11708518816650539,0.6181343873191922
26725,0.04840004266124765,0.10385514162426766
26726,0.015909282615657976,0.04084218103435266
26727,0.25553619525727195,0.7671931860637218
26728,0.22567767081480658,0.514072738505595
26729,0.07523985272556966,0.29078651834097696
26730,0.0475625045916228,0.2285290847503046
26731,0.016282162800315986,0.26383271267506075
26732,0.12306103895439627,0.11447253338796522
26733,0.9171689394044341,0.964490811873622
26734,0.8652825651520571,0.4017276421872482
26735,0.1503061645599124,0.5070996224881706
26736,0.06024291286016418,0.1343496314705831
26737,0.08347105602752122,0.13987800656528301
26738,0.6739893676157664,0.8680822740577323
26739,0.11554067473533025,0.24216016006150468
26740,0.1612444154464704,0.13885166957735898
26741,0.20222267737785032,0.9298811130095412
26742,0.14461089345150457,0.5015726375793123
26743,0.04369740421571398,0.44454910864402375
26744,0.06974187729721593,0.613475195607168
26745,0.09412486571098952,0.9245656111661479
26746,0.1035173579563929,0.32956202866691686
26747,0.09950945121824245,0.3417574237172806
26748,0.09408729846476671,0.059607433690583765
26749,0.07512431201161854,0.6818550439710467
26750,0.6406883027361291,0.8926669673282434
26751,0.3454666504366394,0.7204608907473118
26752,0.02247830902455332,0.01947977744486343
26753,0.1871251839103335,0.652381466906866
26754,0.08800504050180573,0.46266660201605514
26755,0.09329563063175196,0.3264815614273598
26756,0.014620055896789105,0.03355917128608044
26757,0.5041963937148165,0.5085852257432486
26758,0.5738850257773983,0.8797379951070197
26759,0.040409557839554175,0.2008951288943929
26760,0.01137624376961171,0.023113240064659413
26761,0.12729696738300594,0.5441100105325692
26762,0.1681356441159421,0.8423233232146795
26763,0.8946010398847875,0.9838087337848129
26764,0.9329802292030157,0.9668191567434362
26765,0.03045597636137053,0.6884099379528679
26766,0.13753675163073714,0.1322602860943354
26767,0.7097023692040968,0.7086972420987164
26768,0.015418680142825084,0.4335940641552381
26769,0.13126897147232744,0.13589218147086685
26770,0.1339884821796834,0.7041683307196017
26771,0.06600713086875727,0.17441686097767545
26772,0.07781491994000406,0.3780172563704733
26773,0.010583312874756253,0.37192070956484363
26774,0.026820809074946,0.49761549824134566
26775,0.12078190075980356,0.5594214834382456
26776,0.3936194841516412,0.33176169653078735
26777,0.12012732293399912,0.913296193160333
26778,0.13542455417386395,0.12667949241674903
26779,0.1118368411287722,0.49480038659433134
26780,0.18871216996564827,0.9562710312845978
26781,0.03888461218722429,0.3863341003228584
26782,0.052083566075089634,0.33898652426888776
26783,0.08350476932627905,0.4125836859862312
26784,0.31231227953672475,0.8478914600470079
26785,0.3419578113339485,0.5328878315779079
26786,0.1453408937105632,0.2687430696255407
26787,0.09916566243337266,0.47199823823370163
26788,0.12205450348362851,0.9378496765575153
26789,0.014274273413731185,0.30049315519987413
26790,0.07809699555729248,0.3468522202658524
26791,0.04882407330761929,0.06984664003786528
26792,0.23644979847319816,0.7955304901341654
26793,0.1026100568092121,0.8797744185484905
26794,0.8143491722753524,0.9145135365796426
26795,0.03807151704197822,0.9260526099145765
26796,0.05492071308465918,0.07432298753518962
26797,0.0913152283491149,0.6324478415656646
26798,0.18977000239315503,0.16723246438620984
26799,0.2620717737308195,0.1919188135014226
26800,0.03947145004649252,0.9150671777789094
26801,0.2285943780566397,0.33524549351200905
26802,0.1267810759718937,0.2252055160684215
26803,0.059827595344517696,0.1619180587438184
26804,0.05359566306956159,0.08340236775634118
26805,0.07936123190115063,0.19596170730597662
26806,0.0701119342737296,0.8800844906576087
26807,0.6023733504547412,0.9433001128928161
26808,0.2606338505892248,0.5960692245564946
26809,0.7074762913121727,0.13504484912684897
26810,0.02783508847507727,0.06943503816733593
26811,0.0602068093279417,0.05950952941670035
26812,0.1365117749056415,0.7284398939802873
26813,0.3047690553551298,0.3068153696622694
26814,0.038862394832688975,0.46466232368103955
26815,0.06893555467059823,0.17182085818031473
26816,0.029696823316049007,0.14852516052339967
26817,0.16994716610179889,0.7187756440738751
26818,0.0576651094753474,0.1848009278819054
26819,0.3082468921423875,0.4426108333214608
26820,0.09434801644138305,0.3036639898920244
26821,0.13206571469984502,0.48945310774288403
26822,0.2262854338384924,0.6379212689548341
26823,0.4781531316216065,0.5512548996403961
26824,0.04455347779770724,0.6807592530921986
26825,0.4129342091942239,0.7666075237487573
26826,0.09216628971327538,0.7153259428891858
26827,0.05711887100905505,0.11536832487387888
26828,0.19089787002470276,0.6538502878700069
26829,0.5774584322916178,0.9260146613982233
26830,0.06577357895979981,0.6370077922856053
26831,0.19016056260480071,0.8110182810581884
26832,0.1146986950309418,0.7995542585729244
26833,0.008323191914202173,0.32360208535888835
26834,0.14431237701865535,0.5568015492540564
26835,0.3660044820611995,0.9059457935391333
26836,0.18503757936540075,0.6583544790232323
26837,0.041423464056097745,0.016171674953918518
26838,0.10315295435204694,0.42880645187867256
26839,0.11441051414004691,0.5194101192551164
26840,0.09459139564128535,0.13627369917833798
26841,0.30858699400262235,0.8278896871013832
26842,0.08883937383614082,0.2288306060236928
26843,0.042340661411271165,0.01565652317858906
26844,0.038034641494202694,0.4970411522545866
26845,0.0676577070858079,0.6666203856737973
26846,0.06946477765009348,0.7201168595797766
26847,0.3534657016541619,0.08619254215534641
26848,0.04517566093269611,0.7295997583462799
26849,0.11251540891260062,0.6541356896757392
26850,0.5883555114179448,0.614789758781555
